1,1,1,1
2,1,1,1
3,1,1,1
4,0.71,0.855,0.903
5,1,1,1
6,1,1,1
7,0.91,0.955,0.97
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,0,0,0
13,1,1,1
14,0.99,0.995,0.996
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,0.99,0.995,0.996
20,1,1,1
21,0.64,0.82,0.88
22,0.6,0.8,0.866
23,1,1,1
24,1,1,1
25,0.01,0.505,0.67
26,0.05,0.525,0.683
27,1,1,1
28,1,1,1
